,JoinCode,District,PLM,INC,StPoll,Final,Rating,RepWins
114,FL28,FL-28,3.8998120000000003,6.3,3.7049839110000002,5.3123505385900005,Likely R,89.7%
115,GA1,GA-1,19.51325,13.4,10.35181868,17.3079823892,Solid R,100.0%
116,GA2,GA-2,-4.303485,-10.3,-7.606996693999999,-6.51446566886,Solid D,4.5%
117,GA3,GA-3,37.72735,30.1,23.22027436,34.91484380839999,Solid R,100.0%
118,GA4,GA-4,-50.03138,-57.7,-43.23991549,-53.0672902881,Solid D,0.0%
119,GA5,GA-5,-59.93855,-66.5,-50.06711376,-62.52242699439999,Solid D,0.0%
120,GA6,GA-6,24.23505,0.0,11.96871782,20.508888795799997,Solid R,100.0%
121,GA7,GA-7,-16.06375,-25.8,-18.78205289,-19.9075789941,Solid D,0.0%
122,GA8,GA-8,34.56982,27.6,21.22948281,32.0321585389,Solid R,100.0%
123,GA9,GA-9,46.10865,37.9,29.211882399999997,43.06626435599999,Solid R,100.0%
124,GA10,GA-10,31.15672,0.0,18.16756954,28.039281382599995,Solid R,100.0%
125,GA11,GA-11,24.05728,15.3,12.185201199999998,20.727710427999995,Solid R,100.0%
126,GA12,GA-12,16.87351,10.1,7.9523021289999996,14.37863816901,Solid R,100.0%
127,GA13,GA-13,-52.45721999999999,-60.4,-45.24290724,-55.616499395599995,Solid D,0.0%
128,GA14,GA-14,45.169579999999996,37.4,28.76777095,42.31346455549999,Solid R,100.0%
129,HI1,HI-1,-31.94248,-29.4,-23.34188994,-30.552869658600002,Solid D,0.0%
130,HI2,HI-2,-31.68955,0.0,-23.36486067,-30.155842362299996,Solid D,0.0%
131,IA1,IA-1,3.941143,2.9,1.645285176,3.8765839814399996,Lean R,78.1%
132,IA2,IA-2,5.458609,4.4,2.7834247710000004,5.39010932199,Likely R,91.3%
133,IA3,IA-3,2.251076,0.3,-0.187013735,1.79196624285,Tilt R,63.8%
134,IA4,IA-4,27.318309999999997,26.0,19.1738587,27.189568202999997,Solid R,100.0%
135,ID1,ID-1,45.506009999999996,38.2,29.30412495,42.8496709155,Solid R,100.0%
136,ID2,ID-2,26.67605,22.9,17.19430763,25.490815764699995,Solid R,100.0%
137,IL1,IL-1,-40.62955,0.0,-32.53875507,-40.6876294983,Solid D,0.0%
138,IL2,IL-2,-36.84659,-40.0,-30.51527901,-37.913439816899995,Solid D,0.0%
139,IL3,IL-3,-38.574459999999995,0.0,-31.62409407,-39.0906211083,Solid D,0.0%
140,IL4,IL-4,-43.97005,-46.4,-35.46829917,-44.74304992729999,Solid D,0.0%
141,IL5,IL-5,-35.361059999999995,-39.6,-30.05028197,-36.8903927593,Solid D,0.0%
142,IL6,IL-6,-6.162658,-10.9,-8.249341732000001,-7.837495055080001,Solid D,2.2%
143,IL7,IL-7,-70.00192,-72.8,-55.39862487,-70.9939535603,Solid D,0.0%
144,IL8,IL-8,-11.679689999999999,-15.4,-11.80788648,-12.930895971199998,Solid D,0.0%
145,IL9,IL-9,-37.835390000000004,-41.6,-31.63519162,-39.1669155178,Solid D,0.0%
146,IL10,IL-10,-20.956129999999998,-25.9,-19.57378438,-22.754292322199998,Solid D,0.0%
147,IL11,IL-11,-9.961191,-15.3,-11.49036455,-11.903111309499998,Solid D,0.2%
148,IL12,IL-12,46.41387,42.8,32.23477432,45.34451318079999,Solid R,100.0%
149,IL13,IL-13,-6.505558000000001,0.0,-8.482857421,-8.05078388049,Solid D,1.7%
150,IL14,IL-14,-6.49219,-11.5,-8.663143108,-8.283898044519999,Solid D,1.3%
151,IL15,IL-15,42.4285,38.7,29.14811919,41.30059724109999,Solid R,100.0%
152,IL16,IL-16,25.93611,21.5,16.233099199999998,24.465810147999996,Solid R,100.0%
153,IL17,IL-17,-3.546824,0.0,-5.9749189739999995,-4.92970137206,Likely D,17.4%
154,IN1,IN-1,-6.346558,-8.4,-6.757793231,-6.86975958939,Solid D,2.0%
